id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,29423.0,572373108883,1,617747993322.0,12337914626.0,29653.0,29144.0,153.04,0.52285,3088250322.0,0.54248,19457506.0,21000000.0,21000000.0,69045.0,-57.42247,2021-11-10T14:24:11.849Z,67.81,43253.47162,2013-07-06T00:00:00.000Z,,2023-08-15T01:16:27.228Z,0.040002025817239426,0.5228494233302361,-2.9299853982077186,0.8507441568431334
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1845.84,221770959256,2,221770959256.0,4267776317.0,1854.61,1836.08,5.08,0.27592,676275435.0,0.30588,120144363.737548,120144363.737548,,4878.26,-62.16423,2021-11-10T14:24:19.604Z,0.432979,426185.84228,2015-10-20T00:00:00.000Z,"{'times': 82.8848221486723, 'currency': 'btc', 'percentage': 8288.48221486723}",2023-08-15T01:16:23.825Z,0.06700655285488395,0.27592274642672016,-4.57307292806111,0.7708561095175277
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,240.36,36985474289,4,48077992708.0,298969986.0,241.02,239.24,-0.005394865902928815,-0.00224,13791404.0,0.0373,153856150.0,153856150.0,200000000.0,686.31,-65.00661,2021-05-10T07:24:17.097Z,0.0398177,603053.82176,2017-10-19T00:00:00.000Z,,2023-08-15T01:16:30.923Z,0.09242313237869246,-0.0022444353095880418,-4.44178116234922,-0.6869613308127425
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.631137,33291058842,5,63066435765.0,976193560.0,0.635508,0.625135,0.00600123,0.95999,276551342.0,0.83767,52787284454.0,99988519823.0,100000000000.0,3.4,-81.41996,2018-01-07T00:00:00.000Z,0.00268621,23406.5046,2014-05-22T00:00:00.000Z,,2023-08-15T01:16:25.868Z,-0.21023586537040495,0.9599893207143174,-11.943226154068377,1.740552672063931
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1844.59,14951530822,7,14951530822.0,4957519.0,1853.33,1836.24,5.43,0.29521,58052399.0,0.38978,8107304.15353367,8107304.15353367,8107304.15353367,4829.57,-61.82314,2021-11-10T14:40:47.256Z,482.9,281.81673,2020-12-22T04:08:21.854Z,,2023-08-15T01:16:29.930Z,0.09951449757653506,0.2952071082071381,-4.55087680815696,0.9601091156909248
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,47.13,2827559424,27,14137797118.0,4018172.0,47.2,46.52,0.239348,0.51041,19229065.0,0.68472,60000000.0,235957685.3,300000000.0,58.66,-19.64005,2023-02-18T01:21:37.582Z,0.580608,8018.7385,2019-01-14T00:00:00.000Z,,2023-08-15T01:16:16.551Z,-0.05240711040952785,0.5104096642090304,8.300439010947736,4.050432437991493
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,229.98,4474799130,19,4824833656.0,133797488.0,230.62,226.53,1.12,0.4895,11567235.0,0.25917,19476481.1466508,21000000.0,21000000.0,3785.82,-93.93463,2017-12-20T00:00:00.000Z,76.93,198.46586,2018-12-16T00:00:00.000Z,,2023-08-15T01:16:25.201Z,0.05292898644265813,0.48949910603479074,-10.625726097543605,-4.025787000498628
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,82.11,6037815164,15,6896357064.0,312737176.0,82.95,81.62,-0.03074646437208628,-0.03743,1100609.0,0.01823,73542664.4834713,84000000.0,84000000.0,410.26,-79.99499,2021-05-10T03:13:07.904Z,1.15,7043.93358,2015-01-14T00:00:00.000Z,,2023-08-15T01:16:31.767Z,0.0011124647323009244,-0.03742928327100636,-13.415585933197455,-0.19200230146945654
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.067152,2213396620,31,3357620810.0,292947081.0,0.067256,0.060473,0.00620503,10.18096,204510524.0,10.18029,32960788984.848,50000000000.0,50000000000.0,0.569229,-88.24729,2021-09-15T10:40:28.318Z,0.00986111,578.42085,2020-01-02T17:30:24.852Z,,2023-08-15T01:20:19.740Z,3.4115053955362225,10.180957218518174,28.278657849450557,13.736754533358827
pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1682922725,1.4e-06,590271709,71,590271709.0,126374143.0,1.44e-06,1.33e-06,4.2359e-08,3.12579,20599906.0,3.6161,420690000000000.0,420690000000000.0,420690000000000.0,4.31e-06,-67.39037,2023-05-05T16:50:45.302Z,5.5142e-08,2447.09012,2023-04-18T02:14:41.591Z,,2023-08-15T01:20:23.892Z,-0.4137514105210344,3.125793077553202,-15.552810037058615,25.55026198826054
